logger,sensor_id
20864823,c01
20744238,c02
20851273,c03
20910473,c04
20744246,c05
20864822,c06
20851268,c07
20864820,c08
20744236,c09
20851271,c10
20744241,c11
20744243,c12
20910466,c13
21154338,c14
20864818,c15
20910471,c16
20851267,c17
21154335,c18
21154333,c19
20864819,c20
20864824,c21
20864821,c22
20910481,c23
20910469,c24
20744244,c25
20910468,c26
20842552,c27
20744235,c28
20744232,c29
20744233,c30
20851274,c31
21154332,c33
20851269,c34
20864815,c35
20910470,c37
21154337,c38
20851272,c39
20910480,c40
20910475,c41
20910479,c42
20744237,c43
20744234,c44
21154331,c45
20851270,c46
20910467,c48
20910476,c49
20910472,c50
20744240,c52
20851275,c53
20851266,c54
20910478,c55
20910482,c56
20744245,c57
20744239,c58
20744242,c59
20744247,c60
20842545,c61
20864825,c62
20842551,c63
20842549,c64
20842550,c65
20842543,c66
20842546,c67
20842548,c68
20842544,c70
20842547,c71
20864816,c72
